anchor,positive,negative
abdominal discomfort,gastic upset,tired
abdominal discomfort,digestive problems,high
abdominal distension,bloated,rid of my appetite
abdominal distension,felt like sumo wrestler,itchy skin 
abdominal distension,felt like sumo wrestler,fucked up
abdominal pain,"killing""""  my tummy",stopped working
abdominal pain,tummy trouble,need to save the world
abdominal pain,tummy trouble,feel like crap
abdominal pain,"killing""""  my tummy",might notice if i got hit in the crotch w/ a lance in a jousting accident
abdominal pain,ab pain,mania
abdominal pain upper,stomach cramps,brain so retarded
abnormal behaviour,behaving oddly,worsening pain
abnormal dreams,crazy shit in my dreams,sick to my stomach
abnormal dreams,dream,sleepy
abnormal dreams,dream all types of crazy,alcoholism
abnormal dreams,dream,you are so horny and i am not
abnormal dreams,dreams,feel like death
abnormal dreams,dream,difficult to come off
abnormal dreams,dreams,need to be awake
abnormal dreams,dreams,tiredness
abnormal dreams,dream all types of crazy,headaches
abnormal dreams,dreams,depressed
abnormal dreams,lucid dreaming,feeling like shit
abnormal dreams,dream,nightmares
abnormal dreams,dream,loopy
abnormal dreams,crazy shit in my dreams,mind races
abnormal dreams,dream,antipsychotics
abnormal dreams,lucid dreaming,gain weight
abnormal dreams,dreams,not feeling good
acne,acne,drowsy
acne,face break out,not feeling good
acne,acne,back pain
affect lability,instability,flare
affect lability,emotional,itchy
affect lability,inside i was still screaming,gained weight
affect lability,inside i was still screaming,sick
ageusia,no taste,jaw clenching
aggression,turn peaceful people into the hulk,toxicity
aggression,turn peaceful people into the hulk,tired
agitation,rip out my teeth,coming of it was horrific
agitation,rip out my teeth,knocking me about
agitation,jacked up,tiredness
akathisia,rocking,tremors
akathisia,akathisia,limping
akathisia,restless arms,exhaustion 
alcohol intolerance,lightweight,gain alot of weight
alcohol intolerance,twice as drunk,fatness
alcoholism,alcoholism,look at my farrah fawcett poster
alopecia,hair falling out,addicted
alopecia,hairloss,antsy
alopecia,hairloss,loopy
alopecia,balm,withdrawals
amnesia,memory loss,cognitive problems
amnesia,memory loss,gained weight
anaphylactic shock,anaphylactic shock,depressed
anger,rage,priapism
anger,angry,psychosis
anger,angry,slept 13-14 hrs
anger,rant,pain
anger,angry,after-sting
anger,angry,gastro pain
anger,rage breaking things,sick
anger,rage,gain so much weight
anger,angry,jolting
anger,rant,crying
anger,mad,alcoholism
anorgasmia,stops you from jizzing,knee pain
anorgasmia,can't cum,allergic
anorgasmia,ability to cum,crippled
anorgasmia,can't cum,aches and pains
anorgasmia,can't cum,messed up my sleep
anorgasmia,ejaculate,crippled
anorgasmia,can't cum,withdrawl
anxiety,anxiety,dead from the waist down
anxiety,anxiety,sleeping schedule of a vampire
apathy,eh whatever,nauseous
apathy,eh whatever,emotional
aphasia,mute,swollen lower legs
appetite disorder,eating incredibly differently,pains in head
appetite disorder,appetite,angry
appetite disorder,eating incredibly differently,fat
arrhythmia,heart arrhythmia,craving
arthralgia,joint pain,withdrawal
arthralgia,shoulder,allergic reaction
arthralgia,hip joints just started hurting,hyper-sensitive
arthralgia,joint pain,dreams
arthralgia,knee pain,intense dreams
arthralgia,joint pain,tiredness
arthralgia,aching knees,anxiety
arthralgia,hip joints just started hurting,cant really walk
arthralgia,knee pain,jcv
arthralgia,hip,steven johnson syndrome
arthralgia,shoulder,loss of circulation 
arthropathy,joint problems,sick
asthenia,weak,drowsy
asthenia,energy,not dangerous but it is damn unpleasant
asthenia,weak knees,appetite
asthenia,weak knees,acne
asthenia,weak,withdrawal
asthenia,can't even get whipped cream out of the can,jcv
asthenia,can't even get whipped cream out of the can,knackered when i wake
asthenia,energy,stops you from jizzing
ataxia,ataxia,bruises
ataxia,ataxia,exhaustion 
attention deficit hyperactivity disorder,add,can't even get whipped cream out of the can
back pain,back pain,restless legs
back pain,back,migraines
back pain,back pain,awake all night
back pain,lower back pain,lucid dreaming
back pain,back pain,reaction
back pain,back pain,value your brain cells
back pain,back pain,munchies
back pain,back,puking
back pain,"back, hip, and leg aches",coming off it
back pain,back pain,migraines
back pain,back ache,drowsy
back pain,back pain,think too much 
back pain,back ache,gain weight
binge eating,binge,got ten minutes of sleep
bipolar i disorder,mixed episodes,lightweight
bipolar i disorder,mixed episode,physically
bipolar i disorder,mixed episodes,nap
blindness,lost vision,fucked up
blood pressure decreased,blood pressure dropped,sick
blood pressure increased,raised my blood pressure, tremors
blood prolactin increased,prolactin,coming off effexor was the worst
blood prolactin increased,prolactin levels,painful
body temperature increased,overheating,fatigue
body temperature increased,low grade temp,emotional
bradyphrenia,can't think as fast,dreams
bradyphrenia,can't think as fast,back pain
breast enlargement,boobs humungous,sleepy
breast enlargement,boobs humungous,withdrawals
breath odour,breath smells,ocd
bruxism,grinds the shit out of their teeth,resisting it
bruxism,grind my teeth,sleep for days
bruxism,grind my teeth,allergic
burning sensation,felt like chemo,body ache
burning sensation,burn my veins,messed up dreams
burning sensation,felt like acid,zap me of all energy
burning sensation,felt like chemo,eyeballs make a sound
calcium deficiency,calcium problems,triggers my rapid cycling
cardiac arrest,heart stopped,dreams
chemotherapy,chemo,withdraw
chest pain,heart was hurting,withdrawal
chest pain,heart was hurting,balm
chest pain,chest pain,nausea
chills,shivers,withdrawals
chills,shivering,itchy skin 
clostridial sepsis,septic c diff,shaking
cognitive disorder,cognitive problems,crazier
compulsions,twirls her hair constantly,ejaculate
compulsions,twirls her hair constantly,diarrhea
confusional state,thirty minutes to type,dream
confusional state,confused,hallucinate 
confusional state,thirty minutes to type,eat
connective tissue disorder,connective tissue,felt like sumo wrestler
constipation,constipation,brain zaps
contusion,bruises,sick
cough,cough,messed up my sleep
crying,wailed,allergic reaction
crying,cry ,weight gain
crying,cry,"just eat, and eat"
crying,cry,dry nose
crying,crying,ocd
crying,wailed,gastro pain
crying,cry,feel disgusting
crying,crying,awake all night
decreased appetite,haven't ate,weight
decreased appetite,plan on eating,retarded
decreased appetite,plan on eating,need to save the world
decreased appetite,not eat,priapism
decreased appetite,rid of my appetite,confused
decreased appetite,plan on eating,stressful
decreased appetite,not eat,crippled
decreased appetite,won't you let me eat,hangover
decreased appetite,haven't ate,confused
decreased appetite,plan on eating,withdrawal
decreased appetite,no appetite,yawning
decreased appetite,stop spending all of your income in food,bruises
decreased appetite,won't you let me eat,can't sleep
decreased appetite,eat,17h sleep
decreased appetite,haven't ate,nausea
decreased appetite,can't eat,tension in my nerves
decreased appetite,rid of my appetite,rls
dehydration,dehydration,3 days of hell
dehydration,dehydration,headache
dehydration,dehydrates,feels like when you come off heroin
delirium,deliriousness,connective tissue
