,term_PT
0,hyperpyrexia
1,haptoglobin decreased
2,peritoneal chlamydia infection
3,oculogyric crisis
4,diarrhoea infectious neonatal
5,familial glucocorticoid deficiency
6,endocardial fibrosis
7,retinal oedema
8,red blood cell agglutination present
9,uhthoff's phenomenon
10,androgens abnormal
11,hemivertebra
12,antral follicle count high
13,malignant neoplasm of spermatic cord
14,blood cadmium decreased
15,blood osmolarity abnormal
16,nerve injury
17,otoscopy normal
18,ovarian germ cell choriocarcinoma stage i
19,biliary tract infection helminthic
20,postmortem blood drug level
21,enzyme inhibition
22,atrial natriuretic peptide normal
23,neutropenia
24,cytomegalovirus viraemia
25,inflammatory marker test
26,choroidal dystrophy
27,strangulated hernia
28,peritoneal sarcoma
29,cd4 lymphocytes decreased
30,inflammatory carcinoma of the breast
31,anaphylactoid shock
32,pickwickian syndrome
33,haemangioma congenital
34,water intoxication
35,intrusive thoughts
36,cardiac murmur functional
37,soft tissue infection
38,spinal cord injury cauda equina
39,disseminated aspergillosis
40,myopathy toxic
41,alpha 1 foetoprotein amniotic fluid
42,oesophagoscopy
43,cystitis gonococcal
44,positron emission tomogram normal
45,bone marrow oedema syndrome
46,inhibiting antibodies negative
47,coronary ostial stenosis
48,csf lactate dehydrogenase decreased
49,edentulous
50,pancreatic carcinoma metastatic
51,cd4/cd8 ratio decreased
52,autosomal recessive megaloblastic anaemia
53,injection site mass
54,binge eating
55,penile size reduced
56,plasmablast count
57,hydroxycorticosteroids urine increased
58,human placental lactogen increased
59,early satiety
60,silicosis
61,hyperchromasia
62,intraductal papillary mucinous neoplasm
63,haemoglobin c
64,hypomagnesaemia
65,acute zonal occult outer retinopathy
66,sick cell syndrome
67,goniotomy
68,congenital thrombocyte disorder
69,product appearance confusion
70,lasegue's test
71,asphyxia
72,paradoxical pressor response
73,seminal vesiculitis gonococcal
74,capillary permeability
75,congenital small intestinal atresia
76,transient ischaemic attack
77,benign congenital hypotonia
78,myelofibrosis
79,orthostatic proteinuria
80,anti-insulin antibody decreased
81,carotid pulse increased
82,nutritional condition normal
83,product dose omission issue
84,blood homocysteine decreased
85,fibrinolysis
86,adjustment disorder
87,genital prolapse
88,scan bone marrow abnormal
89,excessive dietary supplement intake
90,ulnar neuritis
91,vascular ligation
92,intravascular lipoma
93,daydreaming
94,biopsy tonsil
95,infective pericardial effusion
96,fulminant type 1 diabetes mellitus
97,maximal voluntary ventilation normal
98,ventricular internal diameter
99,barium meal abnormal
100,reversible cerebral vasoconstriction syndrome
101,anal spasm
102,prostate cancer stage i
103,urine calcium
104,bone cancer metastatic
105,bone marrow donation
106,product barcode issue
107,natural killer cell activity normal
108,internal carotid artery deformity
109,adiponectin increased
110,ovarian germ cell embryonal carcinoma stage i
111,residual urine volume decreased
112,chronic eosinophilic rhinosinusitis
113,prosthesis implantation
114,intraosseous lipoma
115,immune-mediated adverse reaction
116,chronic respiratory disease
117,progestin therapy
118,preventive surgery
119,perisplenitis
120,tooth socket haemostasis
121,cobb syndrome
122,anaesthetic premedication
123,anti-thyroid antibody
124,blood folate
125,gastrointestinal necrosis
126,hormone suppression therapy
127,ovarian hyperstimulation syndrome
128,oropharyngeal discomfort
129,apolipoprotein c abnormal
130,gated single photon emission computerised tomogram
131,perforation
132,feeding disorder
133,hepatitis alcoholic
134,facial nerve exploration
135,orthopaedic examination normal
136,cleft lip and palate
137,biopsy vulva abnormal
138,dactylitis
139,female genital organs x-ray normal
140,breast injury
141,percutaneous coronary intervention
142,hyperviscosity syndrome
143,carbohydrate antigen 125 normal
144,vibratory sense increased
145,methylenetetrahydrofolate reductase polymorphism
146,providencia urinary tract infection
147,alkalosis hypokalaemic
148,cholesterin granuloma of middle ear
149,nodule
150,acute flaccid myelitis
151,prostatic fluid leukocytes increased
152,blood gastrin decreased
153,anti-actin antibody
154,ph semen
155,external ear neoplasm malignant
156,risk of future pregnancy miscarriage
157,corneal implant
158,haemangioma of skin
159,parasystole
160,portal fibrosis
161,vegetarian
162,vaccination site movement impairment
163,diverticulitis intestinal perforated
164,stridor
165,nocturia
166,autonomic dysreflexia
167,granulocytes abnormal
168,peak nasal inspiratory flow abnormal
169,dry weight evaluation
170,brachiocephalic vein stenosis
171,infusion site vasculitis
172,human herpes virus 6 serology negative
173,cyp2b6 polymorphism
174,wallerian degeneration
175,artificial heart device user
176,fear of weight gain
177,congenital epiblepharon
178,red blood cell sedimentation rate increased
179,peritoneal fluid protein increased
180,weaning failure
181,fluorescence angiogram abnormal
182,serum procollagen type i n-terminal propeptide decreased
183,rheumatoid vasculitis
184,splint application
185,lysozyme
186,thrombocytopenic purpura
187,urine glucose/creatinine ratio increased
188,ileocolostomy
189,serum ferritin decreased
190,therapeutic skin care topical
191,vocal cord paresis
192,adventitial cystic disease
193,erythroblastosis
194,urine retinol binding protein
195,neurologic somatic symptom disorder
196,retinoblastoma
197,megakaryocyte destruction increased
198,phacolytic glaucoma
199,gastric infection
200,sperm analysis normal
201,left atrial volume abnormal
202,mite allergy
203,immune complex level increased
204,"2',5'-oligoadenylate synthetase test"
205,skin erosion
206,dysmorphophobia
207,angiogram
208,muscle flap operation
209,device telemetry issue
210,prostate cryoablation
211,ganglioneuroblastoma
212,attention-seeking behaviour
213,dermatitis diaper
214,thoracic spinal stenosis
215,acute interstitial pneumonitis
216,congenital fallopian tube anomaly
217,cardiac pacemaker evaluation
218,bicytopenia
219,dependence
220,proctitis monilial
221,ossicle disorder
222,second primary malignancy
223,abdominal infection
224,galectin-3 test
225,idiopathic angioedema
226,holt-oram syndrome
227,blood triglycerides decreased
228,oedema
229,dementia
230,coagulation test abnormal
231,ovarian bacterial infection
232,intestinal sepsis
233,uterine cervical metaplasia
234,dopaminergic drug therapy
235,vitreous haematoma
236,ectopic pregnancy termination
237,sudden visual loss
238,postoperative care
239,gastrocardiac syndrome
240,combined immunodeficiency
241,electrocardiogram t wave peaked
242,blepharophimosis congenital
243,bronchitis
244,venous intravasation
245,blood catecholamines normal
246,bladder operation
247,periventricular haemorrhage neonatal
248,central nervous system infection
249,vaginal dilation procedure
250,idiopathic pneumonia syndrome
251,intestinal t-cell lymphoma stage iii
252,stress echocardiogram abnormal
253,penoscrotal fusion
254,plasminogen activator inhibitor decreased
255,brachial pulse increased
256,complications of limb reattachment surgery
257,cor pulmonale chronic
258,strong's procedure
259,head deformity
260,adrenolytic syndrome
261,single parent family
262,abnormal organ maturation
263,mesangioproliferative glomerulonephritis
264,thought blocking
265,osteomyelitis acute
266,herpes simplex pneumonia
267,rhinomanometry abnormal
268,carbohydrate tolerance decreased
269,enteroclysis
270,dislocation of sternum
271,oesophagogastroduodenoscopy normal
272,cardiopulmonary bypass
273,cellulitis laryngeal
274,implant site bruising
275,acquired oesophageal web
276,peri-implantitis
277,blood isopropanol
278,chronic myelomonocytic leukaemia
279,intra-amniotic injection
280,mittendorf dot
281,spinal laminectomy
282,parasite cervical specimen test positive
283,natural killer cell count
284,bacterial prostatitis
285,douglas' abscess
286,metastases to spleen
287,ultrasound skull abnormal
288,autoresuscitation
289,bronchotomy
290,cardiolipin antibody
291,alk gene rearrangement positive
292,maternal death during childbirth
293,poverty
294,implant site haematoma
295,peripheral sensory neuropathy
296,hepatitis neonatal
297,prophylaxis against alcoholic withdrawal syndrome
298,cisternal puncture
299,biopsy stomach abnormal
300,campylobacter gastroenteritis
301,abnormal product of conception
302,blood triglycerides abnormal
303,aortic annulus rupture
304,bladder catheter replacement
305,gastric sarcoma
306,pancreatic pseudoaneurysm
307,eye exercises
308,eyelid myoclonus
309,rickettsioses not tick borne
310,thyroid cancer stage iii
311,extragonadal primary germ cell tumour mixed stage iii
312,injection site injury
313,electronystagmogram abnormal
314,pelvic inflammatory disease mycoplasmal
315,activated partial thromboplastin time normal
316,lipofibroma
317,blood immunoglobulin a normal
318,mammogram normal
319,adenocarcinoma of colon
320,blood pressure diastolic increased
321,testicular abscess
322,corynebacterium test positive
323,retro-pubic prostatectomy
324,secondary thrombocytosis
325,normal pressure hydrocephalus
326,anal cancer stage ii
327,necrotising retinitis
328,ocular retrobulbar haemorrhage
329,allen's test
330,pantoea agglomerans infection
331,colour blindness acquired
332,fungal test negative
333,ear neoplasm
334,apoptosis
335,periorbital haemorrhage
336,vaginal haemorrhage
337,umbilical cord blood ph
338,plethysmography
339,klebsiella infection
340,stickler's syndrome
341,ovarian dysgerminoma stage iv
342,optic nerve injury
343,myeloperoxidase deficiency
344,inflammatory carcinoma of breast stage iv
345,spinal compression fracture
346,saliva alcohol test positive
347,syngamiasis
348,stenotrophomonas test positive
349,spleen scan normal
350,beta 2 microglobulin increased
351,hypopharyngeal cancer stage ii
352,csf neutrophil count increased
353,accidental overdose
354,urinary retention
355,excessive granulation tissue
356,hodgkin's disease recurrent
357,cannabinoid hyperemesis syndrome
358,lumbar puncture abnormal
359,electrical burn
360,insulin shock therapy
361,bladder agenesis
362,prothrombin time ratio decreased
363,radiotherapy toxicity attenuation
364,irvan syndrome
365,ureteral cyst
366,splenic marginal zone lymphoma stage iv
367,tongue polyp
368,apnoea test abnormal
369,epidemic pleurodynia
370,telangiectasia congenital
371,gonioscopy normal
372,thermal burns of eye
373,acute phosphate nephropathy
374,penis injury
375,urine calcium/creatinine ratio decreased
376,infantile back arching
377,dyspnoea at rest
378,ultrasound thyroid abnormal
379,foetal biophysical profile score normal
380,penile erythema
381,poor milk ejection reflex
382,alpha-1 antitrypsin deficiency
383,urine sodium increased
384,finger deformity
385,immunoglobulin therapy
386,congenital diaphragmatic eventration
387,cancer surgery
388,gastroenteritis bacillus
389,central obesity
390,emergency care examination abnormal
391,anterior capsule contraction
392,urine chloride increased
393,genotoxicity
394,right ventricular systolic pressure decreased
395,hormone-dependent prostate cancer
396,butanol-extractable iodine decreased
397,hypoaldosteronism
398,capnogram
399,hyperbilirubinaemia
400,removal of foreign body from nose
401,skin weeping
402,salpingostomy
403,blood bilirubin
404,anxiety
405,insulin-like growth factor abnormal
406,cholecystogram intravenous abnormal
407,endocarditis noninfective
408,injection site dermatitis
409,orthokeratology
410,thyroplasty
411,delirium
412,superior sagittal sinus thrombosis
413,infertility tests normal
414,peripheral artery surgery
415,gastritis hypertrophic
416,tracheal pain
417,cystitis glandularis
418,urine chromium decreased
419,malignant muscle neoplasm
420,intestinal fibrosis
421,catheter culture
422,protuberant ear
423,epidermodysplasia verruciformis
424,aicardi's syndrome
425,renal disorder prophylaxis
426,heat stroke
427,lacrimal duct procedure
428,hepatobiliary cancer in situ
429,nasal abscess
430,enlarged cerebral perivascular spaces
431,blood gonadotrophin abnormal
432,wound infection staphylococcal
433,device signal detection issue
434,product temperature excursion issue
435,csf oligoclonal band absent
436,amenorrhoea-galactorrhoea syndrome
437,orgasmic sensation decreased
438,chondrolysis
439,kleefstra syndrome
440,venous pressure normal
441,cardiac assistance device user
442,thyroid hormones increased
443,epulis
444,pneumonia helminthic
445,hand-foot-and-mouth disease
446,furuncle
447,deep brain stimulation
448,parasomnia
449,spousal abuse
450,anorectal haemangioma
451,urethral injury
452,epiphysitis
453,deoxypyridinoline urine increased
454,ortolani test
455,overwear syndrome
456,small intestinal stenosis
457,vulval operation
458,indirect calorimetry
459,urine vitamin k increased
460,pleomorphic adenoma
461,confusional state
462,gastrointestinal mucosal exfoliation
463,ovarian germ cell embryonal carcinoma stage iv
464,blood potassium decreased
465,abortion missed
466,pancreatic cyst rupture
467,inferior vena cava perforation
468,medical device site reaction
469,tracheo-oesophageal fistula
470,"blood 1,25-dihydroxycholecalciferol increased"
471,weight increased
472,hepatitis c rna fluctuation
473,hyperaemia
474,rheumatoid factor increased
475,spontaneous hyphaema
476,endotheliomatosis
477,faecal elastase concentration decreased
478,critical illness
479,retinal laser coagulation
480,traumatic lumbar puncture
481,mediastinum neoplasm
482,administration site laceration
483,blood immunoglobulin g increased
484,atrial septal defect
485,salivary gland cancer stage i
486,nitrite urine
487,anti factor ix antibody increased
488,thermogram normal
489,autoimmune lymphoproliferative syndrome
490,dissociative disorder
491,trochlear nerve operation
492,lymphocyte count
493,commissurotomy of pulmonary valve
494,climatotherapy
495,therapeutic response decreased
496,herpes simplex meningoencephalitis
497,social fear
498,celestin tube insertion
499,craniocervical syndrome
500,funisitis
501,ammoniuria
502,ileus spastic
503,allergic hepatitis
504,infusion site dryness
505,salvage therapy
506,congenital hypogammaglobulinaemia
507,cystic angiomatosis
508,nih stroke scale abnormal
509,underimmunisation
510,schizoaffective disorder bipolar type
511,erysipeloid
512,meningoencephalocele repair
513,physical thyroid examination normal
514,endoscopic ultrasound abnormal
515,induced abortion failed
516,antiviral prophylaxis
517,lentigo maligna recurrent
518,baller-gerold syndrome
519,medical device site hyperkeratosis
520,hiv infection who clinical stage i
521,hepatitis a antigen positive
522,child-pugh-turcotte score increased
523,paranasal sinus and nasal cavity malignant neoplasm stage i
524,pulmonary function test
525,abnormal faeces
526,radiotherapy to rectum
527,haematoma
528,allergy to immunoglobulin therapy
529,vaginal removal of intrauterine foreign body
530,cd4 lymphocyte percentage increased
531,cryptococcosis
532,bilirubin conjugated normal
533,acupressure
534,pectus excavatum
535,pregnancy test positive
536,oncovirus test
537,vital functions abnormal
538,sleep disorder
539,bone swelling
540,withdrawal bleed
541,chondrocalcinosis
542,poriomania
543,heparin resistance
544,frontal lobe epilepsy
545,administration site papule
546,lipid proteinosis
547,glioblastoma multiforme
548,breath alcohol test positive
549,blood homocysteine
550,haemoglobin e trait
551,central vision loss
552,pingueculitis
553,galectin-3 abnormal
554,induction and maintenance of anaesthesia
555,thyroglobulin decreased
556,viral haemorrhagic cystitis
557,chemical poisoning
558,rectal ultrasound
559,immune-mediated enterocolitis
560,intracranial haemangioma
561,tubo-ovarian abscess
562,enterobacter test positive
563,blood testosterone free decreased
564,cerebellar dysplasia
565,lymphoma operation
