text,ade,term_PT
@theeastmovie thank you so much for getting the message out...wish i could see the film but bayer crippled me with cipro back in 2009!,crippled,gait inability
vyvanse at 7pm probably wasn't a great idea.. i can't sleeeep -__-,can't sleeeep,insomnia
08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,fluid retention,fluid retention
08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,muscle spasms,muscle spasms
08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,mobile,immobile
"rt @fightforfood: what i lack in money and personality, i make up for in paxil induced impotency",impotency,erectile dysfunction
?@r_kohler1: this 40 hours of no sleeping really sucks #vyvanse? was just going to tweet this,no sleeping,insomnia
"@neurobonkers also, ""meth mouth"" is really poverty mouth. u don't c when people take it for adhd. nor in prozac, which similarly dries mouth",dries mouth,dry mouth
@redbuttongirl i know. i just realised with everything else - i haven't taken the sodding quetiapine yet!! wondered why i wasn't drowsy doh!,drowsy,somnolence
paxil makes it nearly impossible to cry.,impossible to cry,emotional poverty
#lamotrigine headaches suck :( i wanna curl up &amp; cry.,headaches,headache
my mind races when i'm on a vyvanse,mind races,tachyphrenia
lamictal withdrawal update:  starving!,starving,hunger
lamictal withdrawal update:  starving!,withdrawal,withdrawal syndrome
@mc_elhill @mhchat @womblegeorge #mhchat lamotrigine also causes me to have fewer hours sleep a night,fewer hours sleep,insomnia
"@trainingwithra but #humira has the after-sting, which is worse! yuck. reminds me, i need to go take my shot :) #rheum",after-sting,injection site pain
"when cute boys send you home with free drugs you say thank you, then stay up all night feeling like you have to poop. #vyvanse #daytimesleep",feeling like you have to poop,rectal tenesmus
"when cute boys send you home with free drugs you say thank you, then stay up all night feeling like you have to poop. #vyvanse #daytimesleep",stay up all night,insomnia
@thebeecharmer97 @wyrdotter @danadelany psssh didn't levaquin make u hallucinate? girl u best stay away from shrooms lol,hallucinate,hallucination
@shipmom cipro is awful makes me sick as a dog too,sick,malaise
"i need more energy today. don't know where to get it from, though. this is the result of going off #tysabri for #msandlife and heat-related.",energy,asthenia
rt @annie_monster: wtf? can't even get whipped cream out of the can? my arms just keep getting worse. damned cipro.,arms just keep getting worse.,pain in extremity
rt @annie_monster: wtf? can't even get whipped cream out of the can? my arms just keep getting worse. damned cipro.,can't even get whipped cream out of the can,asthenia
@cheer_bear13 @lithiumlibgirl i couldn't take lamictal 1 week into it i got the rash.a rush trip to the er.6 months till rash was gone.,rash,rash
"@helsthorn i dont get it, sex i mean. the doctors p[ut me on venlafaxin","dont get it, sex",loss of libido
vyvanse masks me so depressed,depressed,depression
"anyway, i was just feeling itchy and my neck was red so they gave me benedryl with my #tysabri. might be a coincidence but just in case",itchy,pruritus
