term_PT,term_HLT,term_HLGT,term_SOC
hyperpyrexia,febrile disorders,body temperature conditions,general disorders and administration site conditions
haptoglobin decreased,haem metabolism analyses,"metabolic, nutritional and blood gas investigations",investigations
peritoneal chlamydia infection,chlamydial infections,chlamydial infectious disorders,infections and infestations
oculogyric crisis,ocular nerve and muscle disorders,ocular neuromuscular disorders,eye disorders
diarrhoea infectious neonatal,abdominal and gastrointestinal infections,infections - pathogen unspecified,infections and infestations
familial glucocorticoid deficiency,adrenal disorders congenital,endocrine disorders congenital,"congenital, familial and genetic disorders"
endocardial fibrosis,endocardial disorders nec,endocardial disorders,cardiac disorders
retinal oedema,"retinal, choroid and vitreous infections and inflammations","ocular infections, irritations and inflammations",eye disorders
red blood cell agglutination present,red blood cell analyses,haematology investigations (incl blood groups),investigations
uhthoff's phenomenon,multiple sclerosis acute and progressive,demyelinating disorders,nervous system disorders
androgens abnormal,reproductive hormone analyses,endocrine investigations (incl sex hormones),investigations
hemivertebra,musculoskeletal and connective tissue disorders of spine congenital,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
antral follicle count high,fertility analyses,reproductive organ and breast investigations (excl hormone analyses),investigations
malignant neoplasm of spermatic cord,reproductive neoplasms male malignant nec,reproductive neoplasms male malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
blood cadmium decreased,toxicology laboratory analyses,toxicology and therapeutic drug monitoring,investigations
blood osmolarity abnormal,water and electrolyte analyses nec,"water, electrolyte and mineral investigations",investigations
nerve injury,nerve injuries nec,injuries nec,"injury, poisoning and procedural complications"
otoscopy normal,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
ovarian germ cell choriocarcinoma stage i,ovarian germ cell neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
biliary tract infection helminthic,helminthic infections nec,helminthic disorders,infections and infestations
postmortem blood drug level,toxicology laboratory analyses,toxicology and therapeutic drug monitoring,investigations
