,LLT,PT
0,muscle pain,myalgia
1,aortic sclerosis,aortic arteriosclerosis
2,tracheal cannula dislocation,device dislocation
3,biliocutaneous fistula,biliary fistula
4,iol dislocation,device dislocation
5,peritonsillar cellulitis,peritonsillitis
6,tricuspid valve disease nos,tricuspid valve disease
7,atrophy adrenal cortex,adrenal atrophy
8,mucus extravasation cyst,salivary gland mucocoele
9,cervical smear test positive,smear cervix abnormal
10,gonadotropic fsh,blood follicle stimulating hormone
11,biopsy of bone excl marrow,biopsy bone
12,adenocarcinoma gastric stage i,adenocarcinoma gastric
13,skin vasculitis nos,cutaneous vasculitis
14,deficiency anaemia nos,deficiency anaemia
15,otitis externa due to herpes zoster,herpes zoster oticus
16,retrocedent gout,gout
17,labiaplasty,genital labial operation
18,cataract radiation,radiation cataract
19,atherosclerosis of unspecified graft of the extremities,peripheral arterial occlusive disease
20,labeled drug-disease interaction issue,labelled drug-disease interaction issue
21,arteriovenous fistula infection,arteriovenous fistula site infection
22,brain metastases,metastases to central nervous system
23,fractionated stereotactic brain radiotherapy,radiotherapy to brain
24,implant site ecchymosis,implant site haemorrhage
25,malignant neoplasm of pineal gland,pineal parenchymal neoplasm malignant
26,abdominal hernia acquired,abdominal hernia
27,paracoccidioides infection nos,paracoccidioides infection
28,distention,abdominal distension
29,halitosis,breath odour
30,retrobulbar neuritis (acute),optic neuritis
31,essential tremor (hereditary),familial tremor
32,cmv antigen positive,cytomegalovirus test positive
33,"tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy",oesophageal tuberculosis
34,histoplasmosis meningitis,meningitis histoplasma
35,removal of shirodkar suture,cervix cerclage procedure
36,papillary muscle hemorrhage,papillary muscle haemorrhage
37,t wave flattening of,electrocardiogram t wave amplitude decreased
38,burkitt's tumour,burkitt's lymphoma
39,uncarthrosis,spinal osteoarthritis
40,alpha-1 anti-trypsin low,alpha-1 anti-trypsin decreased
41,loss of weight,weight decreased
42,sleep rem abnormal,rapid eye movements sleep abnormal
43,small intestinal bacterial overgrowth,gastrointestinal bacterial overgrowth
44,chronic monocytic leukaemia (in remission),chronic myelomonocytic leukaemia (in remission)
45,external iliac artery perforation,iliac artery perforation
46,pancreas cobalt therapy,gamma radiation therapy to pancreas
47,"megacolon, other than hirschsprung's",megacolon
48,oesophageal squamous cell carcinoma middle third stage i,oesophageal squamous cell carcinoma stage i
49,catheter site pus,catheter site infection
50,adhf,cardiac failure acute
51,sublingual mass,salivary gland mass
52,contractures nos,muscle contracture
53,anaemia hyperchromic,hyperchromic anaemia
54,mri angiography abnormal,angiogram abnormal
55,device gas leak,device leakage
56,chronic obstruct airways disease,chronic obstructive pulmonary disease
57,pyruvate increased,blood pyruvic acid increased
58,diverticulum esophageal,diverticulum oesophageal
59,arteriovenous graft site hemorrhage,arteriovenous graft site haemorrhage
60,croupous bronchitis,fibrinous bronchitis
61,myocardial contraction decreased,cardiac failure
62,beta-thalassaemia trait,thalassaemia beta
63,igg4 related sclerosing disease,immunoglobulin g4 related disease
64,plastic rigidity,muscle rigidity
65,keith-wagener-barker retinopathy grade 1,retinopathy hypertensive
66,"malignant neoplasm of cervix uteri, unspecified",cervix carcinoma
67,family history of seizure,familial risk factor
68,red man,red man syndrome
69,product expiration date incorrect,product expiration date issue
70,scleral icterus,ocular icterus
71,extrasystoles atrial,supraventricular extrasystoles
72,vocal cord disorder nos,vocal cord disorder
73,subcutaneous sarcoidosis,cutaneous sarcoidosis
74,legionella infection nos,legionella infection
75,foramen ovale patent,atrial septal defect
76,blotchy,rash macular
77,royal free disease,post viral fatigue syndrome
78,coital haemorrhage,coital bleeding
79,taenia solium infection,taeniasis
80,open pericardial biopsy abnormal,biopsy pericardium abnormal
81,paraesthesia of genital male,genital paraesthesia
82,scheduled daily dosing taken more frequently,inappropriate schedule of product administration
83,cellulitis breast,breast cellulitis
84,precordial catch syndrome,chest pain
85,mycobacterium avium complex test positive,atypical mycobacterium test positive
86,hemicrania,headache
87,acathesia,akathisia
88,unstable lie of fetus,unstable foetal lie
89,oxidised ldl,low density lipoprotein
90,skin lesion biopsy,biopsy skin
91,conjunctival cicatrix,conjunctival scar
92,"malignant neoplasm of nasopharynx, unspecified, stage i",nasopharyngeal cancer stage i
93,chondrocalcinosis aggravated,chondrocalcinosis
94,plaut's angina,necrotising ulcerative gingivostomatitis
95,chronic lymphocytic leukaemia variants,chronic lymphocytic leukaemia
96,qt interval prolonged,electrocardiogram qt prolonged
97,oestriol low,oestriol decreased
98,pyruvate decreased,blood pyruvic acid decreased
99,increased creatinine clearance,creatinine renal clearance increased
100,lupus erythematosis discoid,cutaneous lupus erythematosus
101,chondromalacia nos,chondromalacia
102,intermediate lesions of pinta,pinta
103,feeling down,depressed mood
104,feeling lifeless,feeling abnormal
105,foreign body in knee,musculoskeletal foreign body
106,respiratory depression neonatal,neonatal respiratory depression
107,multiple idiopathic hemorrhagic sarcoma,kaposi's sarcoma
108,bilirubin excretion disorder nos,bilirubin excretion disorder
109,squamous cell bladder carcinoma stage i,bladder squamous cell carcinoma stage i
110,lfts raised,liver function test increased
111,cns-iris,central nervous system immune reconstitution inflammatory response
112,salmonella enteritidis test positive,salmonella test positive
113,broad ligament laceration syndrome,broad ligament tear
114,device infusion failure,device infusion issue
115,acute lymphoid leukemia without mention of remission,acute lymphocytic leukaemia
116,cerebrospinal fluid glucose increased,csf glucose increased
117,alphafetoprotein normal,alpha 1 foetoprotein normal
118,haemolytic anaemia acquired,haemolytic anaemia
119,leukaemic infiltration brain,central nervous system leukaemia
120,"eating disorder, unspecified",eating disorder
121,septicemia escherichia,escherichia sepsis
122,toe sprain,ligament sprain
123,teeth stained,tooth discolouration
124,haemorrhagic nephrosonephritis,haemorrhagic fever with renal syndrome
125,pain post biopsy,procedural pain
126,potency of penis erection increased,erection increased
127,oximetry normal,oxygen saturation normal
128,synovial fluid polymorphonuclear leukocyte positive,synovial fluid white blood cells positive
129,candidal oesophagitis,oesophageal candidiasis
130,lymphocyte count csf high,csf lymphocyte count increased
131,dystrophy of vulva,vulval disorder
132,juvenile dermatomyositis,dermatomyositis
133,centroblastic-centrocytic follicular (kiel classification) recurrent,"follicle centre lymphoma, follicular grade i, ii, iii recurrent"
134,h1n1 influenza pcr negative,influenza a virus test negative
135,acute diverticulitis,diverticulitis
136,electrocardiogram qt corrected interval normal,electrocardiogram qt interval normal
137,hepatitis c virus genotype 4 positive,hepatitis c virus test positive
138,quick's value increased,prothrombin time shortened
139,carcinoembryonic antigen abnormal,carcinoembryonic antigen increased
140,femoral-femoral arterial bypass,peripheral artery bypass
141,oral soft tissue disorder nos,oral disorder
142,colour vision tests nos normal,colour vision tests normal
143,faint odour of sulfur,parosmia
144,diffuse large b-cell lymphoma nos,diffuse large b-cell lymphoma
145,fibrotic retinal neovascularisation,retinal neovascularisation
146,large cell immunoblastic lymphoma (anaplastic large cell lymphoma t- and null-cell types) stage iv,anaplastic large cell lymphoma t- and null-cell types stage iv
147,oesophageal reflux,gastrooesophageal reflux disease
148,acute lymphoblastic leukemia,acute lymphocytic leukaemia
149,enteritis hemorrhagic,enterocolitis haemorrhagic
150,ige decreased,blood immunoglobulin e decreased
151,lead pipe rigidity,muscle rigidity
152,convulsions neonatal,neonatal seizure
153,miliaria pustulosa,miliaria
154,acute onset of confusion,confusional state
155,cardiac dysrhythmias,arrhythmia
156,lactate dehydrogenase normal,blood lactate dehydrogenase normal
157,late onset hypogammaglobulinaemia,immunodeficiency common variable
158,choledochus stenosis,bile duct stenosis
159,pyonephrosis nos,pyonephrosis
160,ureteropelvic junction obstruction,pelvi-ureteric obstruction
161,paraneoplastic inappropriate antidiuretic hormone secretion,ectopic antidiuretic hormone secretion
162,cftr delta f508,cftr gene mutation
163,arm traumatic amputation,limb traumatic amputation
164,controlled cord traction,retained placenta operation
165,ventral hernia,abdominal hernia
166,exercise ecg abnormal,exercise electrocardiogram abnormal
167,letterer-siwe disease,langerhans' cell histiocytosis
168,staphylococcus simulans test positive,staphylococcus test positive
169,pulmonary vascular disorder nos,pulmonary vascular disorder
170,nuclear magnetic resonance imaging abnormal,magnetic resonance imaging abnormal
171,lung irritation,respiratory tract irritation
172,pancreas hemorrhage,pancreatic haemorrhage
173,tic cough,habit cough
174,erythema circumocular-blepharal,erythema
175,angiitis,vasculitis
176,lower limb wound,limb injury
177,gegenhalten,paratonia
178,partial optic atrophy,optic atrophy
179,anti-dsdna antibody,double stranded dna antibody
180,fallopian tube anastomotic leak,reproductive tract anastomotic leak
181,dead on arrival,death
182,haemorrhage symptom,haemorrhage
183,malignant neoplasm of urethra recurrent,urethral cancer recurrent
184,malignant large intestinal neoplasm stage iii nos,colon cancer stage iii
185,pawp decreased,pulmonary arterial wedge pressure decreased
186,serum thyroid stimulating hormone,blood thyroid stimulating hormone
187,laryngeal biopsy abnormal,biopsy larynx abnormal
188,coombs test nos positive,coombs test positive
189,majocchi granuloma,trichophytic granuloma
190,penis carcinoma nos,penile cancer
191,hemianesthesia,hemianaesthesia
192,disorder lacrimation,lacrimation disorder
193,behavior abnormal,abnormal behaviour
194,vasa previa complicating labor and delivery,vasa praevia
195,congestive cardioplegia,cardiac arrest
196,edema vocal cord,laryngeal oedema
197,acute diastolic heart failure,acute left ventricular failure
198,tongue biopsy abnormal,biopsy tongue abnormal
199,death of grandfather,death of relative
200,"hemolytic disease of fetus or newborn, due to isoimmunization",isoimmune haemolytic disease
201,squamous cell breast cancer female,squamous cell breast carcinoma
202,"b-lymphocytic, prolymphocytic leukaemia (kiel classification) stage iii",b-cell prolymphocytic leukaemia
203,device complication,complication associated with device
204,extended spectrum beta-lactamase producing bacteria infection,pathogen resistance
205,urinary bladder mapping,bladder mapping
206,ethmoiditis,sinusitis
