ENG,term_HLT,term_HLGT,term_SOC
Hyperpyrexia,Febrile disorders,Body temperature conditions,General disorders and administration site conditions
Haptoglobin decreased,Haem metabolism analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Peritoneal chlamydia infection,Chlamydial infections,Chlamydial infectious disorders,Infections and infestations
Oculogyric crisis,Ocular nerve and muscle disorders,Ocular neuromuscular disorders,Eye disorders
Diarrhoea infectious neonatal,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Familial glucocorticoid deficiency,Adrenal disorders congenital,Endocrine disorders congenital,"Congenital, familial and genetic disorders"
Endocardial fibrosis,Endocardial disorders NEC,Endocardial disorders,Cardiac disorders
Retinal oedema,"Retinal, choroid and vitreous infections and inflammations","Ocular infections, irritations and inflammations",Eye disorders
Red blood cell agglutination present,Red blood cell analyses,Haematology investigations (incl blood groups),Investigations
Uhthoff's phenomenon,Multiple sclerosis acute and progressive,Demyelinating disorders,Nervous system disorders
Androgens abnormal,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Hemivertebra,Musculoskeletal and connective tissue disorders of spine congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Antral follicle count high,Fertility analyses,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Malignant neoplasm of spermatic cord,Reproductive neoplasms male malignant NEC,Reproductive neoplasms male malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Blood cadmium decreased,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Blood osmolarity abnormal,Water and electrolyte analyses NEC,"Water, electrolyte and mineral investigations",Investigations
Nerve injury,Nerve injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Otoscopy normal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Ovarian germ cell choriocarcinoma stage I,Ovarian germ cell neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Biliary tract infection helminthic,Helminthic infections NEC,Helminthic disorders,Infections and infestations
