text,ade,meddra,level
"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma",lost vision,vision loss,LLT
"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma",withdrawal,withdrawal syndrome,PT
i hate cipro! #antibiotic #nauseous #cf #hospitallife #cysticfibrosis,nauseous,nauseous,LLT
@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,can't cum,inability to orgasm,LLT
@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,fat,weight gain,LLT
@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,gainin weight,weight gain,LLT
i've had a trazodone headache all day. i heard they go away within a week. #hopeso #iactuallyslept,headache,headache,PT
i've had ocd symptoms like that for a while but seems like the seroquel exacerbates things and now this. :\,exacerbates,condition worsened,LLT
"i finally had an appetite, made food, gone. humira why won't you let me eat",won't you let me eat,appetite suppressed,LLT
@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,oww,pain,PT
@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,toxic,drug toxicity,LLT
@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,equivalent to torture,feeling unwell,LLT
"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",confused,confusion,LLT
"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",dizzy,dizziness,PT
"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",out if it,spaced out,LLT
@benderbach cause humira gives me a lot of rashes and like most of these drugs.. skin sensitivity happens,skin sensitivity,increased skin sensitivity,LLT
@benderbach cause humira gives me a lot of rashes and like most of these drugs.. skin sensitivity happens,rashes,rash,PT
@stillicides @stfumisogynists @schizophrenicgb *buts in* you don't wanna miss venlafaxine no no it made me so wonky missing one day! ouch,wonky,feeling strange,LLT
?@dipndots95: my vyvanse makes me nocturnal ???,nocturnal,sleeplessness,LLT
i'd gladly trade the #mtx  headache for #humira but after 5 months i still don't have the prescription. i function through vitamins &amp; motrin,headache,headache,PT
thank god i was born with so much hair; i wouldn't been balm by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude,balm,hair loss,LLT
thank god i was born with so much hair; i wouldn't been balm by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude,hairloss,hair loss,LLT
vyvanse makes me having the sleeping schedule of a vampire.,sleeping schedule of a vampire,sleeplessness,LLT
1/2 vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems.,calcium problems,calcium deficiency,PT
1/2 vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems.,vitamin d malsorption,vitamin d deficiency,PT
"but still dr. maria jasinskas was right &amp; would have been if not for pharmacy; she said, ""you know sometimes vyvanse can make you depressed""",depressed,depression,PT
@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.,wait gain,weight gain,LLT
@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.,weight,weight gain,LLT
"@almostwell what problems did you have with humira, if you don't mind me asking. i tried infliximab it destroyed my liver.",destroyed my liver,liver damage,LLT
"@amberinnerglow @eclipsedblue me too, remicade for a year, humira, and had an allergic reaction to cimzia, almost killed me in november.",allergic reaction,allergic reaction,LLT
"@amberinnerglow @eclipsedblue me too, remicade for a year, humira, and had an allergic reaction to cimzia, almost killed me in november.",almost killed me,near death experience,PT
@hello_nacho @tobiasampersand lexapro gave me the worst mixed episodes. i have some instability with pristiq but i can manage it ok.,mixed episodes,mixed manic depressive episode,LLT
"@kkarkatvantas1 (( when i used to take trazodone to sleep, people would make me stay up after i took it so they could watch me be high ))",high,feeling high,LLT
im having paroxetine withdrawals but thats ok cuz i still aint takin no moe fuck behavioral health ill be iight,withdrawals,withdrawal syndrome,PT
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",pain,pain,PT
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",heels,pain in heel,LLT
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",hurt,pain,PT
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",blew out my arms,arm injury,LLT
adderall makes me vomit and vyvanse gives me migraines.. the struggle,migraines,migraine,PT
adderall makes me vomit and vyvanse gives me migraines.. the struggle,vomit,vomiting,PT
the #quetiapine is kicking in. bizarre thoughts tonight. tempted to take the whole lot. i won't - don't worry people. just odd thoughts.,bizarre thoughts,illogical thinking,PT
i'm always irritated on vyvanse because people can't think as fast as i can. it's like every conversation is with someone at a nursing home,can't think as fast,slowed thinking,LLT
i'm always irritated on vyvanse because people can't think as fast as i can. it's like every conversation is with someone at a nursing home,irritated,feeling irritated,LLT
@ysabel_03 @bofier try something like wellbutrin - there are many better than zoloft (zombie-loft) and paxil for anxiety imo,zombie,felt like a zombie,LLT
i fell asleep and woke back up again. trying a quarter of a seroquel instead of half this time. i'd like to get out of bed tomorrow.,get out of bed ,somnolence,PT
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",aches and pains,ache,LLT
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",flu iike symptoms,flu like symptoms,LLT
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",shivers,shivers,LLT
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",sweats,sweating,LLT
rt @swagbologna: if this fuckin emt looks at me one more time hes gonna feel the wrath of my vyvanse rage,rage,rage,LLT
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",aches,ache,LLT
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",back pain,back pain,PT
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",fluid retention,fluid retention,PT
"21.55 rivaroxaban diary day 8. aches easing, back pain easing. swollen lower legs like fluid retention. i take 20mg. furosemide every a.m.",swollen lower legs,swelling of legs,LLT
@deltrimental @scribble_dragon comedown is hell. when i went cold turkey from effexor it was about two weeks before the zap noises stopped,comedown is hell,drug withdrawal syndrome,PT
@deltrimental @scribble_dragon comedown is hell. when i went cold turkey from effexor it was about two weeks before the zap noises stopped,zap noises,electric shock sensation,LLT
"my effexor has left me with the inability to cry. i was dry eyed watching ""into the wild"" and even one of those sarah mclachlan commercials",dry eyed,lack of feeling emotions,LLT
"my effexor has left me with the inability to cry. i was dry eyed watching ""into the wild"" and even one of those sarah mclachlan commercials",inability to cry,lack of feeling emotions,LLT
i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,angry,anger,PT
i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,over think,racing thoughts,LLT
"too tired to function right now, thanks humira. #naptime ??????",naptime,sleepiness,LLT
"too tired to function right now, thanks humira. #naptime ??????",tired,tiredness,LLT
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",pain,pain,PT
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",heels,pain in heel,LLT
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",hurt,pain,PT
"rt @annie_monster: almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",blew out my arms,arm injury,LLT
fuckin wired! not sleeping tonight. #vyvanse #whatdoido #yuuuuup,not sleeping,sleeplessness,LLT
fuckin wired! not sleeping tonight. #vyvanse #whatdoido #yuuuuup,wired,sleeplessness,LLT
"had 2 quit job: tendons in lots of pain,  almost ruptured, hands barely usable now. damned cipro.",hands barely usable,hand injury,LLT
"had 2 quit job: tendons in lots of pain,  almost ruptured, hands barely usable now. damned cipro.", tendons in lots of pain,tendon pain,PT
"no med orders til effexor is fully exited. still having brain shivers, but mostly when i don't eat. #effexor #withdrawal #depression",brain shivers,electric shock sensation,LLT
"no med orders til effexor is fully exited. still having brain shivers, but mostly when i don't eat. #effexor #withdrawal #depression",withdrawal,withdrawal syndrome,PT
@onemoremum did i read in a blog post that you took venlafaxine? i am on 300mg and if i forget it for one day i can barely function the next,barely function,mental function decreased,LLT
restless arms &amp; legs! blood quetiapine :-/,restless arms,motor restlessness,LLT
restless arms &amp; legs! blood quetiapine :-/,restless arms &amp; legs,restless legs,LLT
i've been sleeping most of my day away thanks to my humira shot. some days i feel like just giving up. #sick&amp;tired,sleeping,somnolence,PT
"at my old weight my bmi was 18.4. i hate seroquel and prozac and my new pill, i don't eat but still gain weight.",gain weight,weight gain,LLT
@bmccarthy32 glad to here it's keppra over the others. lamictal made me a zombie. first seizure is a bitch eh?,zombie,felt like a zombie,LLT
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",ab pain,abdominal pain,PT
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",cramps,cramps,LLT
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",fatique,fatigue,PT
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",joint problems,joint disorder,LLT
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",nausea,nausea,PT
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",skin,skin disorder,PT
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",ulcers in mouth,ulcer mouth,LLT
