samp_id,text,ae,term_code,term,term_llt_or_pt
349202688950542336,@theeastmovie thank you so much for getting the message out...wish i could see the film but bayer crippled me with cipro back in 2009!,crippled,10049278,gait inability,unable to walk
344764641404145664,vyvanse at 7pm probably wasn't a great idea.. i can't sleeeep -__-,can't sleeeep,10041001,insomnia,sleep loss
347986748795650048,08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,fluid retention,10016807,fluid retention,fluid retention
347986748795650048,08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,muscle spasms,10028333,muscle spasms,muscle spasm
347986748795650048,08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,mobile,10021417,immobile,immobile
352846236526706689,"rt @fightforfood: what i lack in money and personality, i make up for in paxil induced impotency",impotency,10021550,erectile dysfunction,impotence
342132195806310400,?@r_kohler1: this 40 hours of no sleeping really sucks #vyvanse? was just going to tweet this,no sleeping,10041001,insomnia,sleep loss
342024276129492992,"@neurobonkers also, ""meth mouth"" is really poverty mouth. u don't c when people take it for adhd. nor in prozac, which similarly dries mouth",dries mouth,10013781,dry mouth,dry mouth
343858901227278336,@redbuttongirl i know. i just realised with everything else - i haven't taken the sodding quetiapine yet!! wondered why i wasn't drowsy doh!,drowsy,10013649,somnolence,drowsiness
333118693934501889,paxil makes it nearly impossible to cry.,impossible to cry,10071175,emotional poverty,lack of feeling emotions
341317871877648385,#lamotrigine headaches suck :( i wanna curl up &amp; cry.,headaches,10019211,headache,headache
344594372345622528,my mind races when i'm on a vyvanse,mind races,10067192,tachyphrenia,racing thoughts
348622833217318912,lamictal withdrawal update:  starving!,starving,10020466,hunger,hunger
348622833217318912,lamictal withdrawal update:  starving!,withdrawal,10073281,withdrawal syndrome,withdrawal symptom
327148912026734592,@mc_elhill @mhchat @womblegeorge #mhchat lamotrigine also causes me to have fewer hours sleep a night,fewer hours sleep,10041001,insomnia,sleep loss
348895818603958272,"@trainingwithra but #humira has the after-sting, which is worse! yuck. reminds me, i need to go take my shot :) #rheum",after-sting,10058683,injection site pain,injection site stinging
341890864739663872,"when cute boys send you home with free drugs you say thank you, then stay up all night feeling like you have to poop. #vyvanse #daytimesleep",feeling like you have to poop,10057071,rectal tenesmus,rectal tenesmus
341890864739663872,"when cute boys send you home with free drugs you say thank you, then stay up all night feeling like you have to poop. #vyvanse #daytimesleep",stay up all night,10041001,insomnia,sleep loss
349581089221787648,@thebeecharmer97 @wyrdotter @danadelany psssh didn't levaquin make u hallucinate? girl u best stay away from shrooms lol,hallucinate,10019063,hallucination,hallucination
345241637078847489,@shipmom cipro is awful makes me sick as a dog too,sick,10016365,malaise,feeling sick
351393013202817024,"i need more energy today. don't know where to get it from, though. this is the result of going off #tysabri for #msandlife and heat-related.",energy,10057841,asthenia,energy decreased
349205685835272193,rt @annie_monster: wtf? can't even get whipped cream out of the can? my arms just keep getting worse. damned cipro.,arms just keep getting worse.,10033421,pain in extremity,pain in arm
349205685835272193,rt @annie_monster: wtf? can't even get whipped cream out of the can? my arms just keep getting worse. damned cipro.,can't even get whipped cream out of the can,10047862,asthenia,weakness
348907962372349952,@cheer_bear13 @lithiumlibgirl i couldn't take lamictal 1 week into it i got the rash.a rush trip to the er.6 months till rash was gone.,rash,10037844,rash,rash
349523241632669696,"@helsthorn i dont get it, sex i mean. the doctors p[ut me on venlafaxin","dont get it, sex",10024870,loss of libido,loss of libido
344600649050243073,vyvanse masks me so depressed,depressed,10012378,depression,depression
350722228662435841,"anyway, i was just feeling itchy and my neck was red so they gave me benedryl with my #tysabri. might be a coincidence but just in case",itchy,10023089,pruritus,itchy
350722228662435841,"anyway, i was just feeling itchy and my neck was red so they gave me benedryl with my #tysabri. might be a coincidence but just in case",neck was red,10038194,erythema,red neck
345783011658313729,so so so shaky. me and effexor xr have a love/hate relationship.,shaky,10040528,tremor,shaking
327147666570108928,@mc_elhill @mhchat @womblegeorge #mhchat i had sleep paralysis every night for four months when i took quetiapine in addition to lamotrigine,sleep paralysis,10041002,sleep paralysis,sleep paralysis
353523202628124672,"okay, this metoprolol is not a game. aside from the occasional chest pain when i breathe, i'm fine. ?",chest pain,10008479,chest pain,chest pain
342800591816384512,day 11 of #rwrunstreak completed. 1.32 miles of walking. can't run even if i could because of cipro. also day 4 of mostly raw was good.,can't run,10022876,disability,invalid
328158014865559552,"@fibrofighter08 venlafaxine gave me horrendous nightmares, &amp; coming of it was horrific.!",nightmares,10029414,nightmare,nightmares
328158014865559552,"@fibrofighter08 venlafaxine gave me horrendous nightmares, &amp; coming of it was horrific.!",coming of it was horrific,10048010,withdrawal syndrome,withdrawal syndrome
349033495026343936,"@warwraith i'm not even sure what to request. :/ sertraline makes me sick now, venlafaxine made me sick, reboxetine and citalopram useless",sick,10016365,malaise,feeling sick
350041405743316992,@tysonstown when i was on fluoxetine i was dead from the waist down. even frankenstein couldn't have helped...,dead from the waist down,10024870,loss of libido,loss of libido
349638554021937154,"@daftlimmy i've been taking venlafaxine since 2007, it's like hotel california - you can check in, but you can never leave.","you can check in, but you can never leave",10013663,drug dependence,drug dependence
342479732811644929,i'd gladly trade the #mtx  headache for #humira but after 5 months i still don't have the prescription. i function through vitamins &amp; motrin,headache,10019211,headache,headache
348296500692017152,"i reckon i have drug-induced oedema causing musculo-skeletal pain. likely drug combination: rivaroxaban, losartan, and simvastatin.",musculo-skeletal pain,10028391,musculoskeletal pain,musculoskeletal pain
348296500692017152,"i reckon i have drug-induced oedema causing musculo-skeletal pain. likely drug combination: rivaroxaban, losartan, and simvastatin.",oedema,10030095,oedema,oedema
331161461122547712,@tete_floue been thailand so many time it's lovely but always seem to have bad dreams every since i been on quetiapine x,bad dreams,10004063,nightmare,bad dreams
351679516072087552,what to do? not looking forward to cold turkey withdrawals from pristiq... sense of impending doom. anxiety only makes the situation worse.,withdrawals,10073281,withdrawal syndrome,withdrawal symptom
344827002508939264,geez this vyvanse makes me talk a mile a minute haha,talk a mile a minute,10043111,logorrhoea,talkativeness
332538601629966336,@boatsnkrose they are on to you. poppin' metoprolol and she sweatin'.,sweatin,10042661,hyperhidrosis,sweating
344872069089075200,"thank god my steady stream of vyvanse is wearing off, i can sleep now.",sleep,10041001,insomnia,sleep loss
351072270749413377,this levofloxacin got me feeling sick to my stomach!! ugh!!,sick to my stomach,10028823,nausea,nauseous
342113162528690178,"@spectagoggles jeez, and to think i'm suffering without my pristiq for a few days (we've reached the ""random crying"" phase). two weeks yikes",random crying,10011469,crying,crying
350339021471354880,@rickywarwick so true ricky! i went into anaphylactic shock &amp; almost died from taking cipro! dangerous drug - be careful!! take care.,anaphylactic shock,10002199,anaphylactic shock,anaphylactic shock
350339021471354880,@rickywarwick so true ricky! i went into anaphylactic shock &amp; almost died from taking cipro! dangerous drug - be careful!! take care.,almost died,10068111,near death experience,near death experience
351772771174449152,rt @ocd_guy: restless leg syndrome is bad tonight.  damn you fluoxetine.,restless leg syndrome,10038741,restless legs syndrome,restless leg syndrome
339788673040121857,holy shit i quit. no for real this time tho. fuck that noise. aint got time for stuffy sinuses and nicotine addiction.,stuffy sinuses,10028771,nasal congestion,nasal stuffiness
339788673040121857,holy shit i quit. no for real this time tho. fuck that noise. aint got time for stuffy sinuses and nicotine addiction.,addiction,10001125,dependence,addiction
342217867749621762,@crescentcolours that'll be the quetiapine making you drowsy. it's a common side effect xx,drowsy,10013649,somnolence,drowsiness
349715812195643393,@dsymons @trainingwithra @lisabinkc my husband gives me my humira injections. we use the pens. it hurts too bad to give them to myself.,hurts,10033371,pain,pain
349607304951373826,so my body was goin threw withdrawl? lol didnt kno paxil was that strong lol,withdrawl,10073281,withdrawal syndrome,withdrawal symptom
336971197185146882,"@lynnbett off venlafaxine which was pure hell for me, i can't switch these meds anymore, tired of feeling like shit all day.",feeling like shit,10016370,malaise,feeling unwell
340520477078458368,my seroquel this morning got me lethargic,lethargic,10024262,lethargy,lethargic
353912194167087107,"@mariamelee oof, sympathies. i had a raging cipro headache last week.",headache,10019211,headache,headache
329515653251883008,"@ecrjones coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected",tummy,10045148,abdominal pain,tummy ache
329515653251883008,"@ecrjones coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected",disconnected,10012536,dissociation,detachment
